,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,11,,,,,,,39180,,,,,,,,,,,,
1,1,22XPB1030,Taping,PAC01,D6,ECASD60J227M010K00+C001/K803,,3897,31-OCT-22,31-OCT-22,31-OCT-22,,,,,Fraction Combine,,,,22XPB1030
2,2,22XPB1039,Taping,PAC11,D9,ECASD90K107M010K00+C001/K803,,2454,31-OCT-22,31-OCT-22,31-OCT-22,,,,,Fraction Combine,,,,22XPB1039
3,3,22YPB0135,Taping,PAC32,D4,ECASD41E336M040KA0+C001/K803,,4116,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0135
4,4,22YPB0136,Taping,PAC11,D9,ECASD90K107M010K00+C001/K803,,5362,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0136
5,5,22YPB0137,Taping,PAC12,D9,ECASD91A157M010K00+C003/K803,,4306,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0137
6,6,22YPB0138,Taping,PAC03,D4,ECASD40J107M015K00+C001/K803,,3579,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0138
7,7,22YPB0139,Taping,PAC11,D9,ECASD91A107M010K00+C001/K803,,2314,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0139
8,8,22YPB0140,Taping,PAC08,D6,ECASD60D337M006K00+C002/K803,,3558,01-NOV-22,01-NOV-22,01-NOV-22,,,,,Fraction Combine,,,,22YPB0140
9,9,22XPB0999,Reel appearance,PAC10,D3,ECASD31D476M040KA0+SA02/K803,TP-OFF,2978,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0999
10,10,22XPB1032,Reel appearance,PAC09,D4,ECASD40G227M009K00+C009/K803,TP-OFF,3615,01-NOV-22,31-OCT-22,31-OCT-22,,,,,Fraction Combine,,,,22XPB1032
11,11,22XPB1027,SMT,PAC42,D4,ECASD41E156M040KA0+C001/K803,PC-01,3001,01-NOV-22,31-OCT-22,31-OCT-22,,,,,Fraction Combine,,,,22XPB1027
